date,returns_lin,returns_log
1980-01-03,-0.00510591,-0.00511899
1980-01-04,0.01235502,0.01227932
1980-01-07,0.0027225,0.0027188
1980-01-08,0.02003557,0.0198375
1980-01-09,0.00091791,0.00091749
1980-01-10,0.00770285,0.00767334
1980-01-11,0.00027299,0.00027295
1980-01-14,0.00418485,0.00417612
1980-01-15,0.00688532,0.00686173
1980-01-16,-0.00080976,-0.00081008
1980-01-17,-0.00315179,-0.00315677
1980-01-18,0.00334239,0.00333682
1980-01-21,0.00927342,0.00923069
1980-01-22,-0.00526313,-0.00527702
1980-01-23,0.01730787,0.01715979
1980-01-24,0.00229191,0.00228929
1980-01-25,-0.00079152,-0.00079184
1980-01-28,0.01091451,0.01085538
1980-01-29,-0.00679146,-0.00681462
1980-01-30,0.00990617,0.00985743
1980-01-31,-0.00902772,-0.00906872
1980-02-01,0.00840924,0.00837408
1980-02-04,-0.00651494,-0.00653626
1980-02-05,0.00253564,0.00253243
1980-02-06,0.0092447,0.00920223
1980-02-07,0.00483925,0.00482757
1980-02-08,0.01436187,0.01425971
1980-02-11,-0.00703683,-0.00706171
1980-02-12,0.00665983,0.00663775
1980-02-13,0.00458016,0.0045697
1980-02-14,-0.01452213,-0.01462861
1980-02-15,-0.01122342,-0.01128688
1980-02-19,-0.0070185,-0.00704325
1980-02-20,0.01631765,0.01618595
1980-02-21,-0.01021724,-0.0102698
1980-02-22,-0.00208187,-0.00208404
1980-02-25,-0.01486439,-0.01497597
1980-02-26,0.00573548,0.00571909
1980-02-27,-0.0140376,-0.01413706
1980-02-28,-0.00026694,-0.00026698
1980-02-29,0.01166004,0.01159258
1980-03-03,-0.01020591,-0.01025835
1980-03-04,0.00248888,0.00248579
1980-03-05,-0.01463027,-0.01473835
1980-03-06,-0.02231617,-0.02256894
1980-03-07,-0.01610676,-0.01623789
1980-03-10,-0.00364826,-0.00365493
1980-03-11,0.01192373,0.0118532
1980-03-12,-0.00844309,-0.00847893
1980-03-13,-0.01169645,-0.01176539
1980-03-14,-0.00179892,-0.00180054
1980-03-17,-0.03006733,-0.03052862
1980-03-18,0.01799331,0.01783335
1980-03-19,0.00201728,0.00201525
1980-03-20,-0.01140825,-0.01147383
1980-03-21,-0.00785498,-0.00788599
1980-03-24,-0.02961586,-0.03006327
1980-03-25,-0.00090649,-0.0009069
1980-03-26,-0.00514167,-0.00515493
1980-03-27,-0.00466152,-0.00467242
1980-03-28,0.02504581,0.0247373
1980-03-31,0.01400473,0.01390757
1980-04-01,0.00088161,0.00088123
1980-04-02,0.00489333,0.00488139
1980-04-03,-0.00516166,-0.00517502
1980-04-07,-0.01918746,-0.01937393
1980-04-08,0.01008079,0.01003032
1980-04-09,0.01887355,0.01869766
1980-04-10,0.00940744,0.00936347
1980-04-11,-0.00278633,-0.00279022
1980-04-14,-0.00915314,-0.00919529
1980-04-15,-0.002042,-0.00204409
1980-04-16,-0.01062064,-0.01067744
1980-04-17,-0.00482566,-0.00483734
1980-04-18,-0.00494805,-0.00496033
1980-04-21,-0.00745898,-0.00748693
1980-04-22,0.03637272,0.03572684
1980-04-23,0.00290054,0.00289634
1980-04-24,0.00645906,0.00643829
1980-04-25,0.00727971,0.00725334
1980-04-28,0.00456443,0.00455405
1980-04-29,0.00208256,0.00208039
1980-04-30,0.00406197,0.00405374
1980-05-01,-0.00780884,-0.00783949
1980-05-02,0.0011379,0.00113725
1980-05-05,0.00757715,0.00754859
1980-05-06,-0.00122201,-0.00122276
1980-05-07,0.00875294,0.00871486
1980-05-08,-0.00979663,-0.00984494
1980-05-09,-0.01328556,-0.0133746
1980-05-12,0.00057293,0.00057277
1980-05-13,0.01450663,0.01440241
1980-05-14,0.00517399,0.00516065
1980-05-15,0.00131024,0.00130938
1980-05-16,0.00336481,0.00335916
1980-05-19,0.0029809,0.00297647
1980-05-20,-0.00046434,-0.00046445
1980-05-21,0.00092918,0.00092875
1980-05-22,0.0119755,0.01190436
1980-05-23,0.01476929,0.01466129
1980-05-27,0.00705115,0.00702641
1980-05-28,0.00592456,0.00590708
1980-05-29,-0.01597359,-0.01610255
1980-05-30,0.0087966,0.00875814
1980-06-02,-0.00431496,-0.00432429
1980-06-03,-0.00225713,-0.00225968
1980-06-04,0.01900279,0.01882449
1980-06-05,0.00150962,0.00150848
1980-06-06,0.00372405,0.00371713
1980-06-09,0.00450532,0.0044952
1980-06-10,0.00835463,0.00831992
1980-06-11,0.01186109,0.0117913
1980-06-12,-0.0043096,-0.00431892
1980-06-13,0.0025104,0.00250725
1980-06-16,0.00241774,0.00241482
1980-06-17,-0.00051682,-0.00051695
1980-06-18,0.00198227,0.00198031
1980-06-19,-0.01376224,-0.01385782
1980-06-20,-0.00523292,-0.00524666
1980-06-23,0.00394533,0.00393757
1980-06-24,0.00550168,0.0054866
1980-06-25,0.01372244,0.01362914
1980-06-26,-0.00454077,-0.00455111
1980-06-27,-0.00163527,-0.00163661
1980-06-30,-0.01517243,-0.01528871
1980-07-01,0.00603994,0.00602177
1980-07-02,0.00652571,0.00650451
1980-07-03,0.01538726,0.01527008
1980-07-07,0.00706625,0.0070414
1980-07-08,-0.00380425,-0.0038115
1980-07-09,0.00118811,0.00118741
1980-07-10,-0.00873035,-0.00876868
1980-07-11,0.00761008,0.00758127
1980-07-14,0.01841485,0.01824735
1980-07-15,-0.00591617,-0.00593374
1980-07-16,0.00276609,0.00276227
1980-07-17,0.01513003,0.01501671
1980-07-18,0.0049407,0.00492853
1980-07-21,0.00385121,0.00384381
1980-07-22,-0.00261203,-0.00261545
1980-07-23,-0.00212785,-0.00213012
1980-07-24,-0.00114819,-0.00114885
1980-07-25,-0.00829298,-0.00832756
1980-07-28,0.0053817,0.00536727
1980-07-29,0.00798815,0.00795641
1980-07-30,-0.00138887,-0.00138984
1980-07-31,-0.00458157,-0.0045921
1980-08-01,-0.00378071,-0.00378788
1980-08-04,-0.0018975,-0.0018993
1980-08-05,-0.00198384,-0.00198581
1980-08-06,0.00670867,0.00668627
1980-08-07,0.01439737,0.01429471
1980-08-08,0.00251417,0.00251102
1980-08-11,0.00946524,0.00942072
1980-08-12,-0.00793395,-0.00796559
1980-08-13,-0.0041199,-0.00412841
1980-08-14,0.01597989,0.01585356
1980-08-15,0.0037525,0.00374548
1980-08-18,-0.01853326,-0.01870716
1980-08-19,-0.00640247,-0.00642305
1980-08-20,0.00954322,0.00949797
1980-08-21,0.01365438,0.013562
1980-08-22,0.00446355,0.00445362
1980-08-25,-0.00682426,-0.00684765
1980-08-26,-0.00255679,-0.00256006
1980-08-27,-0.01057353,-0.01062983
1980-08-28,-0.01165799,-0.01172648
1980-08-29,0.00245737,0.00245435
1980-09-02,0.01111293,0.01105164
1980-09-03,0.01923392,0.01905128
1980-09-04,-0.00555031,-0.00556577
1980-09-05,-0.00430554,-0.00431484
1980-09-08,-0.01257207,-0.01265176
1980-09-09,0.00616335,0.00614443
1980-09-10,0.00596436,0.00594664
1980-09-11,0.0068104,0.00678731
1980-09-12,-0.00095498,-0.00095544
1980-09-15,0.0010355,0.00103497
1980-09-16,0.00851436,0.00847832
1980-09-17,0.01680604,0.01666638
1980-09-18,-0.0036471,-0.00365376
1980-09-19,0.00661999,0.00659817
1980-09-22,0.00889744,0.00885809
1980-09-23,-0.00743866,-0.00746646
1980-09-24,0.00726263,0.00723639
1980-09-25,-0.01265624,-0.01273701
1980-09-26,-0.01841208,-0.01858369
1980-09-29,-0.02223979,-0.02249082
1980-09-30,0.01554151,0.01542198
1980-10-01,0.013311,0.01322319
1980-10-02,0.00755132,0.00752295
1980-10-03,0.00968074,0.00963418
1980-10-06,0.01855713,0.01838705
1980-10-07,-0.00554161,-0.00555702
1980-10-08,0.00496179,0.00494952
1980-10-09,-0.0046335,-0.00464427
1980-10-10,-0.00572344,-0.00573989
1980-10-13,0.01335487,0.01326648
1980-10-14,-7.57e-05,-7.57e-05
1980-10-15,0.01272529,0.012645
1980-10-16,-0.01106953,-0.01113125
1980-10-17,-0.00529418,-0.00530825
1980-10-20,0.00828768,0.00825353
1980-10-21,-0.00580653,-0.00582346
1980-10-22,0.00060681,0.00060663
1980-10-23,-0.01811704,-0.01828316
1980-10-24,0.00247053,0.00246748
1980-10-27,-0.01517142,-0.01528768
1980-10-28,0.00132942,0.00132853
1980-10-29,-0.00109332,-0.00109392
1980-10-30,-0.01266518,-0.01274606
1980-10-31,0.00934358,0.0093002
1980-11-03,0.01231656,0.01224133
1980-11-05,0.0177465,0.01759087
1980-11-06,-0.01842685,-0.01859874
1980-11-07,0.0020944,0.00209221
1980-11-10,0.00232236,0.00231967
1980-11-11,0.01374729,0.01365365
1980-11-12,0.02536951,0.02505305
1980-11-13,0.01411702,0.0140183
1980-11-14,0.00483543,0.00482378
1980-11-17,0.00437482,0.00436528
1980-11-18,0.01415606,0.0140568
1980-11-19,-0.00458124,-0.00459177
1980-11-20,0.0096361,0.00958997
1980-11-21,-0.00918799,-0.00923046
1980-11-24,-0.00575087,-0.00576747
1980-11-25,0.00737477,0.00734771
1980-11-26,0.00602883,0.00601073
1980-11-28,0.00249701,0.0024939
1980-12-01,-0.02355535,-0.02383721
1980-12-02,-0.00174918,-0.00175072
1980-12-03,-0.00189819,-0.00189999
1980-12-04,-0.00168247,-0.00168389
1980-12-05,-0.01795133,-0.01811441
1980-12-08,-0.02551666,-0.02584786
1980-12-09,-0.00099537,-0.00099586
1980-12-10,-0.01701411,-0.01716051
1980-12-11,-0.00701695,-0.00704168
1980-12-12,0.01468275,0.014576
1980-12-15,0.0017024,0.00170095
1980-12-16,0.00888381,0.00884458
1980-12-17,0.0175344,0.01738245
1980-12-18,0.00082776,0.00082741
1980-12-19,0.00526313,0.00524933
1980-12-22,0.01555723,0.01543746
1980-12-23,-0.0035351,-0.00354136
1980-12-24,0.00428678,0.00427762
1980-12-26,0.00507803,0.00506518
1980-12-29,-0.01127633,-0.01134039
1980-12-30,0.00222175,0.00221929
1980-12-31,0.00317736,0.00317233
1981-01-02,0.00427226,0.00426316
1981-01-05,0.01195544,0.01188454
1981-01-06,0.00108715,0.00108656
1981-01-07,-0.0220098,-0.02225563
1981-01-08,-0.01495413,-0.01506707
1981-01-09,0.00315646,0.00315149
1981-01-12,0.00029973,0.00029969
1981-01-13,-0.00172267,-0.00172416
1981-01-14,0.0013505,0.00134959
1981-01-15,0.00561924,0.00560351
1981-01-16,0.00409777,0.0040894
1981-01-19,-0.00296809,-0.0029725
1981-01-20,-0.02024262,-0.02045031
1981-01-21,-0.00220276,-0.00220519
1981-01-22,-0.00837398,-0.00840924
1981-01-23,-0.0002303,-0.00023033
1981-01-26,-0.0029947,-0.00299919
1981-01-27,0.00985828,0.00981
1981-01-28,-0.00594874,-0.0059665
1981-01-29,-0.00076715,-0.00076745
1981-01-30,-0.00529793,-0.00531201
1981-02-02,-0.02037823,-0.02058873
1981-02-03,0.0122134,0.01213942
1981-02-04,0.00101191,0.0010114
1981-02-05,0.00808779,0.00805526
1981-02-06,0.00748284,0.00745499
1981-02-09,-0.01018378,-0.01023599
1981-02-10,-0.00023206,-0.00023209
1981-02-11,-0.00773754,-0.00776763
1981-02-12,-0.0059264,-0.00594404
1981-02-13,-0.00392218,-0.0039299
1981-02-17,0.00653642,0.00651515
1981-02-18,0.00524214,0.00522845
1981-02-19,-0.01455476,-0.01466172
1981-02-20,-0.00023694,-0.00023697
1981-02-23,0.00608308,0.00606466
1981-02-24,0.0003141,0.00031405
1981-02-25,0.00887044,0.00883133
1981-02-26,0.01229382,0.01221886
1981-02-27,0.00899307,0.00895287
1981-03-02,0.00563716,0.00562133
1981-03-03,-0.01098399,-0.01104476
1981-03-04,0.00229782,0.00229518
1981-03-05,-0.00710689,-0.00713227
1981-03-06,-0.00061561,-0.0006158
1981-03-09,0.00978043,0.00973291
1981-03-10,-0.00503347,-0.00504618
1981-03-11,-0.00390932,-0.00391698
1981-03-12,0.02493271,0.02462696
1981-03-13,-0.00060066,-0.00060084
1981-03-16,0.0117947,0.01172568
1981-03-17,-0.00564297,-0.00565895
1981-03-18,0.00224017,0.00223766
1981-03-19,-0.0056623,-0.0056784
1981-03-20,0.00464555,0.00463479
1981-03-23,0.01200776,0.01193624
1981-03-24,-0.00751717,-0.00754556
1981-03-25,0.01811838,0.0179562
1981-03-26,-0.00612644,-0.00614528
1981-03-27,-0.01188824,-0.01195947
1981-03-30,-0.00274783,-0.00275161
1981-03-31,0.01280906,0.01272772
1981-04-01,0.00419123,0.00418247
1981-04-02,-0.00183056,-0.00183224
1981-04-03,-0.00608863,-0.00610724
1981-04-06,-0.01151386,-0.01158066
1981-04-07,-0.00014925,-0.00014926
1981-04-08,0.00298704,0.00298258
1981-04-09,0.00268037,0.00267679
1981-04-10,-0.00118812,-0.00118882
1981-04-13,-0.01011078,-0.01016224
