,Especie,Ticker,Spot,CallPut,Strike,TTM,Last,Moneyness,impliedVolatility,Bid,Ask
0,TSLA220624C00200000,TSLA,725.780029296875,C,200.0,2,506.14,3.628900146484375,7.792969008789063,526.45,527.95
1,TSLA220624P00200000,TSLA,725.780029296875,P,200.0,2,0.02,3.628900146484375,3.8750003125,0.0,0.01
2,TSLA220624C00250000,TSLA,725.780029296875,C,250.0,2,463.82,2.9031201171875,6.558107271118165,476.55,478.1
3,TSLA220624P00250000,TSLA,725.780029296875,P,250.0,2,0.01,2.9031201171875,3.2500018749999997,0.0,0.01
4,TSLA220624C00300000,TSLA,725.780029296875,C,300.0,2,404.87,2.419266764322917,5.542971821289061,426.7,428.1
5,TSLA220624P00300000,TSLA,725.780029296875,P,300.0,2,0.01,2.419266764322917,2.750003125,0.0,0.01
6,TSLA220624C00350000,TSLA,725.780029296875,C,350.0,2,367.15,2.0736572265625,4.591801135253906,376.25,377.95
7,TSLA220624P00350000,TSLA,725.780029296875,P,350.0,2,0.02,2.0736572265625,2.50000375,0.02,0.02
8,TSLA220624C00400000,TSLA,725.780029296875,C,400.0,2,325.64,1.8144500732421875,3.9135744348144534,326.75,328.1
9,TSLA220624P00400000,TSLA,725.780029296875,P,400.0,2,0.04,1.8144500732421875,2.2031294921874993,0.04,0.05
10,TSLA220624C00410000,TSLA,725.780029296875,C,410.0,2,291.2,1.7701951934070121,3.58593853515625,315.85,317.3
11,TSLA220624P00410000,TSLA,725.780029296875,P,410.0,2,0.05,1.7701951934070121,2.1171922070312497,0.04,0.05
12,TSLA220624C00420000,TSLA,725.780029296875,C,420.0,2,371.52,1.7280476888020833,3.447755286865234,305.75,307.35
13,TSLA220624P00420000,TSLA,725.780029296875,P,420.0,2,0.04,1.7280476888020833,2.0859422851562495,0.05,0.07
14,TSLA220624C00430000,TSLA,725.780029296875,C,430.0,2,216.85,1.6878605332485466,3.394532763671875,296.05,297.75
15,TSLA220624P00430000,TSLA,725.780029296875,P,430.0,2,0.07,1.6878605332485466,2.0156299609375,0.05,0.08
16,TSLA220624C00440000,TSLA,725.780029296875,C,440.0,2,207.0,1.6495000665838069,3.4406752264404297,287.05,288.6
17,TSLA220624P00440000,TSLA,725.780029296875,P,440.0,2,0.08,1.6495000665838069,1.9804688476562502,0.06,0.11
18,TSLA220624C00450000,TSLA,725.780029296875,C,450.0,2,275.5,1.612844509548611,3.291993957519531,276.85,278.6
19,TSLA220624P00450000,TSLA,725.780029296875,P,450.0,2,0.08,1.612844509548611,1.875000625,0.07,0.08
20,TSLA220624C00460000,TSLA,725.780029296875,C,460.0,2,265.9,1.577782672384511,2.798342847900391,264.95,266.8
21,TSLA220624P00460000,TSLA,725.780029296875,P,460.0,2,0.1,1.577782672384511,1.8476570117187499,0.1,0.1
22,TSLA220624C00470000,TSLA,725.780029296875,C,470.0,2,246.75,1.5442128282912233,2.908205854492188,256.1,257.85
23,TSLA220624P00470000,TSLA,725.780029296875,P,470.0,2,0.11,1.5442128282912233,1.78515732421875,0.09,0.13
24,TSLA220624C00480000,TSLA,725.780029296875,C,480.0,2,237.0,1.512041727701823,2.733889884033203,245.9,247.45
25,TSLA220624P00480000,TSLA,725.780029296875,P,480.0,2,0.12,1.512041727701823,1.7265638671875,0.11,0.14
26,TSLA220624C00490000,TSLA,725.780029296875,C,490.0,2,210.95,1.4811837332589286,2.772708146362305,236.9,238.3
27,TSLA220624P00490000,TSLA,725.780029296875,P,490.0,2,0.15,1.4811837332589286,1.685548447265625,0.14,0.17
28,TSLA220624C00500000,TSLA,725.780029296875,C,500.0,2,212.0,1.45156005859375,2.529788831787109,226.05,227.6
29,TSLA220624P00500000,TSLA,725.780029296875,P,500.0,2,0.17,1.45156005859375,1.6328143359374998,0.17,0.19
30,TSLA220624C00505000,TSLA,725.780029296875,C,505.0,2,220.2,1.437188176825495,2.460453067626953,221.1,222.4
31,TSLA220624P00505000,TSLA,725.780029296875,P,505.0,2,0.22,1.437188176825495,1.609376953125,0.17,0.22
32,TSLA220624C00510000,TSLA,725.780029296875,C,510.0,2,213.65,1.4230980966605393,2.4045450042724603,215.95,217.55
33,TSLA220624P00510000,TSLA,725.780029296875,P,510.0,2,0.21,1.4230980966605393,1.5820333398437496,0.19,0.23
34,TSLA220624C00515000,TSLA,725.780029296875,C,515.0,2,198.15,1.4092816102851942,2.3488810809326166,211.1,212.4
35,TSLA220624P00515000,TSLA,725.780029296875,P,515.0,2,0.22,1.4092816102851942,1.5595725146484374,0.21,0.25
36,TSLA220624C00520000,TSLA,725.780029296875,C,520.0,2,188.95,1.3957308255709135,2.1733444104003907,205.2,206.9
37,TSLA220624P00520000,TSLA,725.780029296875,P,520.0,2,0.25,1.3957308255709135,1.53515857421875,0.23,0.27
38,TSLA220624C00525000,TSLA,725.780029296875,C,525.0,2,180.25,1.3824381510416666,2.1733444104003907,200.55,202.15
39,TSLA220624P00525000,TSLA,725.780029296875,P,525.0,2,0.28,1.3824381510416666,1.509768076171875,0.26,0.28
40,TSLA220624C00530000,TSLA,725.780029296875,C,530.0,2,116.91,1.369396281692217,2.1687057501220703,195.85,197.45
