,Especie,Ticker,Spot,Moneyness,CallPut,Strike,TTM,impliedVolatility,Last,Bid,Ask,Avg,Tasa,Div,Precio_BS,Precio_BIN
0,TSLA220819C00760000,TSLA,911.8701171875,1.1998291015625,C,760.0,1,1.1904337353515624,155.35,150.5,154.1,152.3,0.00086,0.0,151.89777803395725,151.89705337158105
1,TSLA220819P00760000,TSLA,911.8701171875,1.1998291015625,P,760.0,1,0.9023447265625,0.06,0.04,0.07,0.05500000000000001,0.00086,0.0,0.0005238937819119771,0.0004731531084397679
2,TSLA220819C00765000,TSLA,911.8701171875,1.1919870812908497,C,765.0,1,1.5163598400878904,152.04,143.95,149.15,146.55,0.00086,0.0,147.1841409851604,147.18198880515675
3,TSLA220819P00765000,TSLA,911.8701171875,1.1919870812908497,P,765.0,1,0.8906260937499999,0.04,0.05,0.08,0.065,0.00086,0.0,0.0007609784719106449,0.0007007335135600326
4,TSLA220819C00770000,TSLA,911.8701171875,1.1842469054383118,C,770.0,1,1.1396527392578126,146.11,140.3,144.45,142.375,0.00086,0.0,141.9057342862966,141.9042315347124
5,TSLA220819P00770000,TSLA,911.8701171875,1.1842469054383118,P,770.0,1,0.85937640625,0.05,0.05,0.08,0.065,0.00086,0.0,0.0007614339989313046,0.0007026021621530568
6,TSLA220819C00775000,TSLA,911.8701171875,1.1766066028225806,C,775.0,1,1.1616252856445315,136.98,135.65,139.55,137.60000000000002,0.00086,0.0,136.93073519844052,136.9288264907123
7,TSLA220819P00775000,TSLA,911.8701171875,1.1766066028225806,P,775.0,1,0.82226740234375,0.07,0.05,0.07,0.060000000000000005,0.00086,0.0,0.0006737911701194255,0.0006172107352207881
8,TSLA220819C00780000,TSLA,911.8701171875,1.1690642528044872,C,780.0,1,1.261966580810547,135.3,132.1,134.55,133.325,0.00086,0.0,132.04029361147025,132.03828960383944
9,TSLA220819P00780000,TSLA,911.8701171875,1.1690642528044872,P,780.0,1,0.80664255859375,0.06,0.06,0.08,0.07,0.00086,0.0,0.0009240864593400844,0.0008386113318733227
10,TSLA220819C00785000,TSLA,911.8701171875,1.161617983678344,C,785.0,1,1.126957490234375,135.09,126.05,129.55,127.80000000000001,0.00086,0.0,126.96029431490297,126.95753320332206
11,TSLA220819P00785000,TSLA,911.8701171875,1.161617983678344,P,785.0,1,0.7812521875,0.07,0.06,0.09,0.075,0.00086,0.0,0.0010423469291460374,0.0009459917342019925
12,TSLA220819C00790000,TSLA,911.8701171875,1.1542659711234178,C,790.0,1,1.0615281298828125,123.85,120.8,124.55,122.675,0.00086,0.0,121.94503752974413,121.94353957593216
13,TSLA220819P00790000,TSLA,911.8701171875,1.1542659711234178,P,790.0,1,0.75195560546875,0.07,0.06,0.09,0.075,0.00086,0.0,0.0010864683160302924,0.0010031532587535474
14,TSLA220819C00795000,TSLA,911.8701171875,1.1470064367138364,C,795.0,1,1.0424852563476565,121.95,115.9,119.65,117.775,0.00086,0.0,116.9612230579886,116.95963306603613
15,TSLA220819P00795000,TSLA,911.8701171875,1.1470064367138364,P,795.0,1,0.7324245507812499,0.07,0.07,0.1,0.085,0.00086,0.0,0.0013973099413514267,0.0012981372109071943
