,Especie,Ticker,Spot,Moneyness,CallPut,Strike,TTM,impliedVolatility,Last,Bid,Ask,Avg,Tasa,Div,Precio_BS,Precio_BIN
0,TSLA230811C00212500,TSLA,253.86000061035156,1.1946352969898897,C,212.5,5,0.6289099609375001,42.4,40.5,42.4,41.45,0.053179310344827584,0.0,41.55770773316698,41.55664295215066
1,TSLA230811P00212500,TSLA,253.86000061035156,1.1946352969898897,P,212.5,5,0.5742230078125,0.1,0.0,0.09,0.045,0.053179310344827584,0.0,0.019016791148369183,0.018668194576265267
2,TSLA230811C00215000,TSLA,253.86000061035156,1.180744188885356,C,215.0,5,0.9311530322265625,38.65,37.6,39.9,38.75,0.053179310344827584,0.0,39.71028064968442,39.70894423204778
3,TSLA230811P00215000,TSLA,253.86000061035156,1.180744188885356,P,215.0,5,0.5839885351562499,0.1,0.06,0.1,0.08,0.053179310344827584,0.0,0.038282233019983014,0.037571379931621046
4,TSLA230811C00217500,TSLA,253.86000061035156,1.1671724165993176,C,217.5,5,0.648441015625,37.2,35.75,37.45,36.6,0.053179310344827584,0.0,36.65184993211045,36.651316167632
5,TSLA230811P00217500,TSLA,253.86000061035156,1.1671724165993176,P,217.5,5,0.5273484765625001,0.1,0.0,0.12,0.06,0.053179310344827584,0.0,0.027606724707970542,0.027218755800070597
6,TSLA230811C00220000,TSLA,253.86000061035156,1.1539090936834162,C,220.0,5,0.7045927978515626,34.0,33.8,34.95,34.375,0.053179310344827584,0.0,34.339210219825134,34.33823276566572
7,TSLA230811P00220000,TSLA,253.86000061035156,1.1539090936834162,P,220.0,5,0.5468795312500001,0.14,0.1,0.15,0.125,0.053179310344827584,0.0,0.06438900080794685,0.06362238294433775
8,TSLA230811C00222500,TSLA,253.86000061035156,1.1409438229678721,C,222.5,5,0.7993184130859375,31.81,30.25,32.5,31.375,0.053179310344827584,0.0,32.306008783516006,32.30041612066824
9,TSLA230811P00222500,TSLA,253.86000061035156,1.1409438229678721,P,222.5,5,0.50586431640625,0.17,0.05,0.19,0.12,0.053179310344827584,0.0,0.06140176667519004,0.06085803423059349
10,TSLA230811C00225000,TSLA,253.86000061035156,1.1282666693793402,C,225.0,5,0.5717816259765626,29.2,28.4,30.05,29.225,0.053179310344827584,0.0,29.24395516772273,29.24316394992298
11,TSLA230811P00225000,TSLA,253.86000061035156,1.1282666693793402,P,225.0,5,0.5214891601562499,0.24,0.2,0.25,0.225,0.053179310344827584,0.0,0.1273995720850376,0.1253878138295834
12,TSLA230811C00227500,TSLA,253.86000061035156,1.115868134550996,C,227.5,5,0.7221707470703125,26.8,25.4,27.65,26.525,0.053179310344827584,0.0,27.43844701517014,27.4364502663457
13,TSLA230811P00227500,TSLA,253.86000061035156,1.115868134550996,P,227.5,5,0.5039112109375,0.32,0.24,0.33,0.28500000000000003,0.053179310344827584,0.0,0.16867021770964907,0.16732983259266934
14,TSLA230811C00230000,TSLA,253.86000061035156,1.1037391330884851,C,230.0,5,0.506840869140625,24.42,23.6,25.0,24.3,0.053179310344827584,0.0,24.305052796476105,24.304326916134773
15,TSLA230811P00230000,TSLA,253.86000061035156,1.1037391330884851,P,230.0,5,0.5053760400390624,0.45,0.42,0.45,0.435,0.053179310344827584,0.0,0.2735254926624222,0.27281784796206937
16,TSLA230811C00232500,TSLA,253.86000061035156,1.0918709703671035,C,232.5,5,0.6601596484375001,21.9,20.65,22.95,21.799999999999997,0.053179310344827584,0.0,22.701216569123204,22.695847418969475
17,TSLA230811P00232500,TSLA,253.86000061035156,1.0918709703671035,P,232.5,5,0.5004932763671875,0.6,0.56,0.61,0.585,0.053179310344827584,0.0,0.40471935458376684,0.40558182680588206
18,TSLA230811C00235000,TSLA,253.86000061035156,1.0802553217461768,C,235.0,5,0.567387138671875,19.7,19.7,20.65,20.174999999999997,0.053179310344827584,0.0,19.991085814836396,19.9906302117343
19,TSLA230811P00235000,TSLA,253.86000061035156,1.0802553217461768,P,235.0,5,0.4897511962890626,0.81,0.8,0.81,0.805,0.053179310344827584,0.0,0.5605947721702087,0.5623394486039673
20,TSLA230811C00237500,TSLA,253.86000061035156,1.068884213096217,C,237.5,5,0.6084023535156251,17.6,16.2,18.45,17.325,0.053179310344827584,0.0,18.145358356689115,18.148858805428738
21,TSLA230811P00237500,TSLA,253.86000061035156,1.068884213096217,P,237.5,5,0.4865773999023438,1.08,1.02,1.12,1.07,0.053179310344827584,0.0,0.8125490066282595,0.8137922852691138
22,TSLA230811C00240000,TSLA,253.86000061035156,1.0577500025431315,C,240.0,5,0.5856975024414062,15.5,14.65,16.3,15.475000000000001,0.053179310344827584,0.0,15.963248239598641,15.96404399130801
23,TSLA230811P00240000,TSLA,253.86000061035156,1.0577500025431315,P,240.0,5,0.4809622216796875,1.47,1.4,1.5,1.45,0.053179310344827584,0.0,1.1344115952939333,1.1318821847228564
24,TSLA230811C00242500,TSLA,253.86000061035156,1.046845363341656,C,242.5,5,0.5073291455078125,13.55,13.35,13.65,13.5,0.053179310344827584,0.0,13.35922783126486,13.363457301092987
25,TSLA230811P00242500,TSLA,253.86000061035156,1.046845363341656,P,242.5,5,0.47546911254882807,1.98,1.77,1.98,1.875,0.053179310344827584,0.0,1.5567511123637843,1.5589318076090093
26,TSLA230811C00245000,TSLA,253.86000061035156,1.0361632677973533,C,245.0,5,0.5170946728515625,11.6,11.4,11.95,11.675,0.053179310344827584,0.0,11.586791625492566,11.586116012958765
27,TSLA230811P00245000,TSLA,253.86000061035156,1.0361632677973533,P,245.0,5,0.46655806884765627,2.54,2.47,2.54,2.505,0.053179310344827584,0.0,2.066351532271966,2.0736678043574703
28,TSLA230811C00247500,TSLA,253.86000061035156,1.0256969721630367,C,247.5,5,0.49707534179687507,9.95,9.8,10.05,9.925,0.053179310344827584,0.0,9.660841184069824,9.657839921250151
29,TSLA230811P00247500,TSLA,253.86000061035156,1.0256969721630367,P,247.5,5,0.4681449670410156,3.27,3.25,3.35,3.3,0.053179310344827584,0.0,2.8165516619931736,2.823877538850251
30,TSLA230811C00250000,TSLA,253.86000061035156,1.0154400024414063,C,250.0,5,0.4836477416992188,8.2,8.05,8.35,8.2,0.053179310344827584,0.0,7.934500298427196,7.931862559310078
31,TSLA230811P00250000,TSLA,253.86000061035156,1.0154400024414063,P,250.0,5,0.4603325451660156,4.2,4.15,4.2,4.175000000000001,0.053179310344827584,0.0,3.629727591026068,3.629769159938025
32,TSLA230811C00252500,TSLA,253.86000061035156,1.0053861410310954,C,252.5,5,0.48242705078125003,6.75,6.7,6.95,6.825,0.053179310344827584,0.0,6.505417850187854,6.510815761488086
33,TSLA230811P00252500,TSLA,253.86000061035156,1.0053861410310954,P,252.5,5,0.459966337890625,5.29,5.2,5.3,5.25,0.053179310344827584,0.0,4.69783707870684,4.710703721531448
34,TSLA230811C00255000,TSLA,253.86000061035156,0.9955294141582415,C,255.0,5,0.47290566162109376,5.55,5.5,5.6,5.55,0.053179310344827584,0.0,5.15110137613938,5.157796068474689
35,TSLA230811P00255000,TSLA,253.86000061035156,0.9955294141582415,P,255.0,5,0.45435115966796874,6.55,6.4,6.5,6.45,0.053179310344827584,0.0,5.885665398988436,5.903115983723097
36,TSLA230811C00257500,TSLA,253.86000061035156,0.9858640800402002,C,257.5,5,0.47022014160156256,4.35,4.4,4.5,4.45,0.053179310344827584,0.0,4.052784012883123,4.053578216288931
37,TSLA230811P00257500,TSLA,253.86000061035156,0.9858640800402002,P,257.5,5,0.45532771240234376,7.86,6.85,7.95,7.4,0.053179310344827584,0.0,7.333051511391716,7.346645506292633
38,TSLA230811C00260000,TSLA,253.86000061035156,0.9763846177321214,C,260.0,5,0.4670463452148438,3.5,3.45,3.55,3.5,0.053179310344827584,0.0,3.1204790029695175,3.1178293927306746
39,TSLA230811P00260000,TSLA,253.86000061035156,0.9763846177321214,P,260.0,5,0.4514215014648438,9.53,9.25,9.5,9.375,0.053179310344827584,0.0,8.900466668260037,8.92174394187375
40,TSLA230811C00262500,TSLA,253.86000061035156,0.9670857166108631,C,262.5,5,0.46655806884765627,2.71,2.6,2.78,2.69,0.053179310344827584,0.0,2.3780388492761517,2.3817477403709257
41,TSLA230811P00262500,TSLA,253.86000061035156,0.9670857166108631,P,262.5,5,0.4559380578613281,11.21,10.9,11.3,11.100000000000001,0.053179310344827584,0.0,10.720455647013381,10.750581364180604
42,TSLA230811C00265000,TSLA,253.86000061035156,0.9579622664541568,C,265.0,5,0.46753462158203124,2.12,2.08,2.16,2.12,0.053179310344827584,0.0,1.7923524271331104,1.796425850563624
43,TSLA230811P00265000,TSLA,253.86000061035156,0.9579622664541568,P,265.0,5,0.4577690942382813,13.17,12.8,13.2,13.0,0.053179310344827584,0.0,12.65217005024408,12.687137332473558
44,TSLA230811C00267500,TSLA,253.86000061035156,0.9490093480760806,C,267.5,5,0.4699760034179688,1.65,1.63,1.67,1.65,0.053179310344827584,0.0,1.3407152206591064,1.3421247894853892
45,TSLA230811P00267500,TSLA,253.86000061035156,0.9490093480760806,P,267.5,5,0.4633842724609375,15.18,14.3,15.25,14.775,0.053179310344827584,0.0,14.734626965936428,14.773626127027764
46,TSLA230811C00270000,TSLA,253.86000061035156,0.9402222244827836,C,270.0,5,0.4753470434570312,1.25,1.25,1.3,1.275,0.053179310344827584,0.0,1.0091381355477296,1.0080444440876664
47,TSLA230811P00270000,TSLA,253.86000061035156,0.9402222244827836,P,270.0,5,0.47022014160156256,17.28,17.1,17.4,17.25,0.053179310344827584,0.0,16.918348652778292,16.9630475006279
48,TSLA230811C00272500,TSLA,253.86000061035156,0.9315963325150516,C,272.5,5,0.4797415307617187,0.99,0.96,1.0,0.98,0.053179310344827584,0.0,0.7482606915535222,0.7450673531317131
49,TSLA230811P00272500,TSLA,253.86000061035156,0.9315963325150516,P,272.5,5,0.4738822143554688,19.68,18.75,19.6,19.175,0.053179310344827584,0.0,19.157172930366556,19.210546633522117
50,TSLA230811C00275000,TSLA,253.86000061035156,0.923127274946733,C,275.0,5,0.4848684326171875,0.75,0.73,0.77,0.75,0.053179310344827584,0.0,0.5535138581538313,0.5495628207628985
51,TSLA230811P00275000,TSLA,253.86000061035156,0.923127274946733,P,275.0,5,0.48340360351562506,21.66,20.95,21.9,21.424999999999997,0.053179310344827584,0.0,21.486464191964245,21.548700299298197
52,TSLA230811C00277500,TSLA,253.86000061035156,0.9148108130102759,C,277.5,5,0.5097705273437501,0.72,0.53,0.69,0.61,0.053179310344827584,0.0,0.48521785394653705,0.4858429349624765
53,TSLA230811P00277500,TSLA,253.86000061035156,0.9148108130102759,P,277.5,5,0.543949873046875,24.1,23.4,25.65,24.525,0.053179310344827584,0.0,24.074868942196048,24.136734917130216
